葛优躺,type,tgi,rate
0,影视音乐,106.71,98.77
1,教育培训,114.26,97.13
2,资讯,111.67,97.01
3,医疗健康,111.72,96.7
4,书籍阅读,120.35,93.16
5,旅游出行,124.2,93.16
6,餐饮美食,120.8,92.88
7,金融财经,124.88,90.84
8,软件应用,136.04,90.25
9,家电数码,133.5,89.91
