为国护盘,type,tgi,rate
0,影视音乐,108.05,100.0
1,金融财经,137.47,100.0
2,教育培训,117.64,100.0
3,医疗健康,115.53,100.0
4,书籍阅读,129.2,100.0
5,资讯,115.12,100.0
6,旅游出行,130.0,97.5
7,餐饮美食,126.8,97.5
8,休闲爱好,136.19,95.0
9,汽车,141.45,95.0
