撕逼,type,tgi,rate
0,影视音乐,107.14,99.16
1,医疗健康,113.31,98.07
2,资讯,112.76,97.95
3,教育培训,114.81,97.59
4,餐饮美食,123.01,94.58
5,书籍阅读,121.73,94.22
6,旅游出行,124.99,93.74
7,软件应用,138.77,92.06
8,家电数码,135.79,91.46
9,金融财经,125.23,91.1
