火钳刘明,type,tgi,rate
0,影视音乐,107.7,99.68
1,教育培训,115.83,98.46
2,资讯,112.42,97.66
3,书籍阅读,124.18,96.12
4,医疗健康,110.86,95.96
5,软件应用,140.75,93.37
6,旅游出行,124.49,93.37
7,餐饮美食,120.69,92.81
8,游戏,138.25,92.24
9,休闲爱好,130.96,91.35
