硬核,type,tgi,rate
0,影视音乐,106.83,98.87
1,教育培训,115.06,97.81
2,资讯,112.1,97.38
3,医疗健康,111.16,96.22
4,书籍阅读,123.45,95.55
5,旅游出行,124.79,93.59
6,餐饮美食,121.07,93.09
7,休闲爱好,129.13,90.07
8,金融财经,123.51,89.84
9,软件应用,135.03,89.58
