女汉子,type,tgi,rate
0,影视音乐,105.5,97.64
1,资讯,111.2,96.6
2,教育培训,112.92,95.99
3,医疗健康,110.89,95.99
4,书籍阅读,119.16,92.23
5,餐饮美食,119.61,91.97
6,旅游出行,121.46,91.1
7,金融财经,120.44,87.61
8,休闲爱好,123.47,86.13
9,软件应用,126.54,83.94
