你咋不上天呢,type,tgi,rate
0,影视音乐,105.63,97.76
1,医疗健康,112.08,97.01
2,资讯,111.68,97.01
3,教育培训,111.49,94.78
4,书籍阅读,121.48,94.03
5,餐饮美食,121.31,93.28
6,旅游出行,121.39,91.04
7,游戏,131.99,88.06
8,休闲爱好,123.03,85.82
9,软件应用,129.37,85.82
