吃土,type,tgi,rate
0,影视音乐,106.84,98.89
1,资讯,112.66,97.87
2,教育培训,114.58,97.4
3,医疗健康,112.31,97.22
4,餐饮美食,122.93,94.53
5,书籍阅读,121.05,93.69
6,旅游出行,123.56,92.67
7,金融财经,125.99,91.65
8,软件应用,134.66,89.33
9,休闲爱好,127.0,88.59
