买买买,type,tgi,rate
0,影视音乐,104.46,96.68
1,教育培训,111.18,94.51
2,资讯,108.2,93.99
3,医疗健康,108.35,93.78
4,书籍阅读,119.96,92.85
5,旅游出行,120.48,90.36
6,餐饮美食,115.09,88.5
7,金融财经,120.8,87.88
8,休闲爱好,124.2,86.63
9,家电数码,127.7,86.01
