人艰不拆,type,tgi,rate
0,影视音乐,107.11,99.13
1,教育培训,115.49,98.17
2,资讯,112.34,97.59
3,医疗健康,111.92,96.87
4,书籍阅读,124.2,96.13
5,旅游出行,125.65,94.24
6,餐饮美食,122.24,94.0
7,软件应用,141.55,93.9
8,金融财经,128.41,93.41
9,家电数码,137.36,92.51
