风油精,type,tgi,rate
0,影视音乐,105.67,97.8
1,医疗健康,111.74,96.72
2,资讯,110.3,95.81
3,教育培训,111.58,94.85
4,餐饮美食,121.07,93.09
5,旅游出行,119.83,89.87
6,书籍阅读,115.25,89.21
7,金融财经,120.42,87.6
8,家电数码,126.82,85.42
9,休闲爱好,122.32,85.32
