吓死宝宝了,type,tgi,rate
0,影视音乐,105.53,97.67
1,教育培训,113.08,96.12
2,医疗健康,111.05,96.12
3,资讯,108.87,94.57
4,书籍阅读,118.18,91.47
5,餐饮美食,118.96,91.47
6,旅游出行,120.93,90.7
7,休闲爱好,125.58,87.6
8,金融财经,119.36,86.82
9,软件应用,128.54,85.27
