来吧展示,type,tgi,rate
0,影视音乐,106.77,98.81
1,资讯,112.84,98.02
2,医疗健康,111.88,96.84
3,教育培训,113.45,96.44
4,书籍阅读,124.09,96.05
5,餐饮美食,122.85,94.47
6,旅游出行,123.32,92.49
7,休闲爱好,131.46,91.7
8,金融财经,122.8,89.33
9,汽车,127.71,85.77
