感觉不会再爱了,type,tgi,rate
0,影视音乐,106.05,98.15
1,家电数码,142.98,96.3
2,软件应用,142.37,94.44
3,资讯,108.72,94.44
4,旅游出行,125.92,94.44
5,书籍阅读,119.63,92.59
6,教育培训,108.92,92.59
7,医疗健康,106.97,92.59
8,游戏,136.01,90.74
9,金融财经,124.74,90.74
