上头条,type,tgi,rate
0,影视音乐,108.05,100.0
1,教育培训,117.64,100.0
2,资讯,115.12,100.0
3,医疗健康,108.93,94.29
4,书籍阅读,118.12,91.43
5,休闲爱好,131.07,91.43
6,软件应用,137.82,91.43
7,金融财经,125.69,91.43
8,商务服务,162.96,91.43
9,餐饮美食,118.9,91.43
