锦鲤,type,tgi,rate
0,影视音乐,106.16,98.25
1,资讯,111.16,96.56
2,医疗健康,110.99,96.07
3,教育培训,112.3,95.46
4,餐饮美食,120.74,92.85
5,旅游出行,122.06,91.55
6,书籍阅读,116.96,90.53
7,金融财经,121.54,88.41
8,休闲爱好,125.84,87.78
9,家电数码,126.4,85.13
