小公举,type,tgi,rate
0,影视音乐,107.42,99.42
1,医疗健康,112.03,96.97
2,资讯,111.63,96.97
3,教育培训,113.23,96.25
4,书籍阅读,120.82,93.52
5,旅游出行,123.15,92.36
6,餐饮美食,119.93,92.22
7,金融财经,124.99,90.92
8,家电数码,132.0,88.9
9,软件应用,133.8,88.76
