赛博朋克,type,tgi,rate
0,影视音乐,106.75,98.8
1,教育培训,114.25,97.12
2,资讯,110.85,96.29
3,书籍阅读,122.94,95.16
4,医疗健康,109.14,94.47
5,游戏,140.36,93.64
6,软件应用,140.99,93.53
7,家电数码,136.25,91.76
8,旅游出行,121.97,91.48
9,餐饮美食,118.19,90.88
