集美,type,tgi,rate
0,影视音乐,106.1,98.2
1,资讯,111.3,96.68
2,医疗健康,110.98,96.06
3,教育培训,112.9,95.97
4,餐饮美食,120.82,92.9
5,旅游出行,123.77,92.83
6,书籍阅读,119.36,92.39
7,金融财经,126.34,91.91
8,软件应用,135.48,89.87
9,家电数码,133.1,89.64
