吴签,type,tgi,rate
0,影视音乐,107.08,99.1
1,资讯,112.0,97.29
2,教育培训,113.88,96.81
3,医疗健康,111.04,96.12
4,书籍阅读,123.79,95.82
5,软件应用,142.05,94.23
6,家电数码,139.2,93.75
7,旅游出行,124.78,93.59
8,游戏,140.03,93.43
9,餐饮美食,121.38,93.34
