主要看气质,type,tgi,rate
0,资讯,115.12,100.0
1,影视音乐,106.55,98.61
2,书籍阅读,125.61,97.22
3,教育培训,114.37,97.22
4,医疗健康,110.72,95.83
5,餐饮美食,122.82,94.44
6,软件应用,140.28,93.06
7,旅游出行,124.07,93.06
8,家电数码,134.04,90.28
9,金融财经,122.2,88.89
