脑洞大开,type,tgi,rate
0,影视音乐,106.91,98.95
1,教育培训,114.68,97.49
2,资讯,112.09,97.37
3,医疗健康,111.28,96.32
4,书籍阅读,122.48,94.8
5,餐饮美食,121.69,93.57
6,旅游出行,123.98,92.99
7,休闲爱好,128.95,89.95
8,金融财经,122.37,89.01
9,游戏,132.1,88.14
