土味情话,type,tgi,rate
0,影视音乐,105.02,97.2
1,教育培训,110.18,93.66
2,医疗健康,107.54,93.09
3,资讯,106.01,92.09
4,书籍阅读,113.18,87.6
5,餐饮美食,111.24,85.54
6,旅游出行,111.92,83.94
7,软件应用,124.87,82.83
8,休闲爱好,114.91,80.15
9,家电数码,117.55,79.17
