emo,type,tgi,rate
0,影视音乐,106.67,98.72
1,医疗健康,112.04,96.98
2,教育培训,114.05,96.95
3,资讯,111.55,96.9
4,书籍阅读,120.77,93.48
5,旅游出行,124.22,93.17
6,餐饮美食,121.06,93.09
7,金融财经,126.66,92.14
8,家电数码,134.6,90.65
9,软件应用,136.59,90.61
