交个朋友,type,tgi,rate
0,影视音乐,106.41,98.49
1,资讯,112.01,97.3
2,教育培训,113.74,96.69
3,医疗健康,110.49,95.64
4,金融财经,131.4,95.59
5,旅游出行,125.79,94.35
6,书籍阅读,121.63,94.14
7,软件应用,140.94,93.49
8,餐饮美食,120.6,92.74
9,家电数码,137.51,92.61
