黑人抬棺,type,tgi,rate
0,影视音乐,106.86,98.9
1,教育培训,114.58,97.4
2,资讯,111.89,97.2
3,医疗健康,110.98,96.06
4,书籍阅读,122.43,94.76
5,餐饮美食,121.6,93.51
6,游戏,138.63,92.49
7,旅游出行,123.16,92.37
8,休闲爱好,130.21,90.83
9,家电数码,131.12,88.31
