剁手党,type,tgi,rate
0,影视音乐,106.11,98.21
1,教育培训,115.53,98.21
2,资讯,111.82,97.13
3,医疗健康,111.8,96.77
4,旅游出行,128.07,96.06
5,餐饮美食,124.46,95.7
6,书籍阅读,123.18,95.34
7,休闲爱好,134.63,93.91
8,金融财经,126.63,92.11
9,软件应用,136.16,90.32
