c位出道,type,tgi,rate
0,影视音乐,107.41,99.41
1,医疗健康,114.85,99.41
2,资讯,114.44,99.41
3,教育培训,116.25,98.82
4,餐饮美食,126.97,97.63
5,书籍阅读,124.61,96.45
6,旅游出行,128.6,96.45
7,软件应用,140.04,92.9
8,家电数码,137.93,92.9
9,休闲爱好,132.33,92.31
