还有这种操作,type,tgi,rate
0,影视音乐,108.05,100.0
1,教育培训,114.04,96.94
2,资讯,111.59,96.94
3,医疗健康,108.46,93.88
4,游戏,140.71,93.88
5,书籍阅读,121.29,93.88
6,软件应用,139.98,92.86
7,家电数码,137.87,92.86
8,休闲爱好,131.66,91.84
9,餐饮美食,116.78,89.8
