中二病,type,tgi,rate
0,影视音乐,106.78,98.83
1,教育培训,114.24,97.11
2,资讯,110.38,95.88
3,医疗健康,110.34,95.51
4,书籍阅读,122.69,94.96
5,软件应用,138.37,91.79
6,餐饮美食,118.99,91.49
7,游戏,137.02,91.42
8,旅游出行,121.09,90.82
9,家电数码,131.14,88.33
