996,type,tgi,rate
0,影视音乐,105.58,97.72
1,资讯,109.01,94.69
2,教育培训,111.07,94.41
3,医疗健康,108.47,93.89
4,书籍阅读,118.83,91.97
5,软件应用,137.08,90.94
6,金融财经,123.15,89.58
7,旅游出行,119.23,89.43
8,家电数码,132.48,89.23
9,餐饮美食,115.96,89.17
