皇上，臣妾做不到啊！,type,tgi,rate
0,影视音乐,106.1,98.2
1,资讯,110.9,96.34
2,教育培训,112.02,95.23
3,医疗健康,109.73,94.98
4,餐饮美食,120.23,92.45
5,书籍阅读,117.51,90.95
6,旅游出行,119.34,89.51
7,休闲爱好,123.43,86.09
8,金融财经,115.07,83.71
9,游戏,122.97,82.04
