怼,type,tgi,rate
0,影视音乐,106.68,98.73
1,教育培训,115.48,98.16
2,资讯,112.27,97.53
3,医疗健康,112.04,96.98
4,书籍阅读,121.81,94.28
5,旅游出行,125.23,93.93
6,餐饮美食,121.69,93.58
7,金融财经,125.03,90.95
8,休闲爱好,129.15,90.08
9,家电数码,129.76,87.4
