秋天的第一杯奶茶,type,tgi,rate
0,影视音乐,105.9,98.01
1,教育培训,113.38,96.38
2,资讯,109.91,95.48
3,医疗健康,109.47,94.76
4,餐饮美食,119.78,92.1
5,书籍阅读,118.6,91.8
6,旅游出行,121.19,90.9
7,软件应用,133.03,88.25
8,家电数码,129.5,87.22
9,金融财经,119.74,87.1
