PPAP,type,tgi,rate
0,教育培训,114.58,97.4
1,影视音乐,105.07,97.25
2,资讯,111.16,96.56
3,书籍阅读,122.61,94.9
4,金融财经,129.69,94.34
5,医疗健康,108.49,93.91
6,软件应用,140.21,93.01
7,家电数码,137.35,92.51
8,汽车,137.67,92.46
9,旅游出行,122.25,91.69
