元芳你怎么看,type,tgi,rate
0,影视音乐,106.99,99.02
1,资讯,112.63,97.84
2,医疗健康,112.66,97.52
3,教育培训,114.46,97.3
4,餐饮美食,123.61,95.05
5,旅游出行,126.62,94.97
6,书籍阅读,122.18,94.57
7,金融财经,127.7,92.89
8,家电数码,133.72,90.06
9,休闲爱好,128.86,89.89
