c位,type,tgi,rate
0,影视音乐,107.22,99.24
1,资讯,113.15,98.29
2,医疗健康,113.11,97.91
3,教育培训,115.07,97.81
4,旅游出行,127.5,95.63
5,书籍阅读,122.62,94.91
6,餐饮美食,123.06,94.63
7,金融财经,129.43,94.15
8,汽车,136.86,91.92
9,休闲爱好,130.61,91.11
