狗粮,type,tgi,rate
0,影视音乐,105.74,97.87
1,资讯,110.1,95.64
2,医疗健康,109.48,94.77
3,教育培训,110.71,94.11
4,餐饮美食,118.88,91.41
5,旅游出行,119.46,89.6
6,书籍阅读,113.73,88.03
7,金融财经,119.38,86.84
8,休闲爱好,122.65,85.55
9,家电数码,126.79,85.4
