快到碗里来,type,tgi,rate
0,影视音乐,105.96,98.07
1,教育培训,112.99,96.04
2,资讯,109.93,95.49
3,医疗健康,107.88,93.38
4,书籍阅读,120.52,93.28
5,餐饮美食,117.73,90.52
6,软件应用,135.21,89.7
7,旅游出行,117.51,88.13
8,金融财经,119.13,86.66
9,休闲爱好,122.79,85.65
