凡尔赛,type,tgi,rate
0,影视音乐,106.53,98.6
1,资讯,112.0,97.29
2,医疗健康,111.99,96.93
3,教育培训,113.65,96.61
4,旅游出行,125.14,93.86
5,餐饮美食,121.74,93.61
6,书籍阅读,119.47,92.47
7,金融财经,126.82,92.25
8,汽车,133.43,89.61
9,家电数码,132.01,88.91
