AI绘画,type,tgi,rate
0,影视音乐,99.06,91.68
1,教育培训,105.42,89.62
2,资讯,100.41,87.22
3,医疗健康,100.26,86.78
4,书籍阅读,104.38,80.79
5,游戏,119.79,79.92
6,旅游出行,106.15,79.62
7,餐饮美食,103.47,79.56
8,软件应用,116.94,77.58
9,休闲爱好,109.94,76.69
