区块链,type,tgi,rate
0,影视音乐,105.76,97.88
1,教育培训,114.78,97.57
2,资讯,111.51,96.87
3,书籍阅读,122.74,95.01
4,医疗健康,108.68,94.07
5,金融财经,129.03,93.86
6,软件应用,140.16,92.98
7,旅游出行,121.95,91.46
8,家电数码,134.99,90.92
9,餐饮美食,115.04,88.46
