爸爸去哪,type,tgi,rate
0,影视音乐,106.18,98.28
1,医疗健康,110.05,95.26
2,教育培训,111.68,94.94
3,资讯,109.22,94.88
4,餐饮美食,117.51,90.36
5,书籍阅读,116.46,90.14
6,旅游出行,119.75,89.82
7,金融财经,120.21,87.45
8,软件应用,129.46,85.88
9,家电数码,126.24,85.02
