打call,type,tgi,rate
0,影视音乐,106.88,98.92
1,教育培训,115.2,97.93
2,医疗健康,112.37,97.27
3,资讯,111.83,97.15
4,书籍阅读,123.02,95.22
5,旅游出行,125.57,94.18
6,餐饮美食,122.08,93.87
7,金融财经,126.33,91.89
8,软件应用,138.03,91.56
9,家电数码,134.94,90.88
