duang,type,tgi,rate
0,影视音乐,106.35,98.43
1,教育培训,114.74,97.53
2,资讯,111.31,96.69
3,医疗健康,110.93,96.02
4,书籍阅读,121.95,94.39
5,旅游出行,124.06,93.05
6,餐饮美食,120.06,92.32
7,软件应用,138.83,92.1
8,家电数码,136.32,91.82
9,金融财经,124.99,90.92
