不约，叔叔我们不约,type,tgi,rate
0,影视音乐,106.51,98.58
1,医疗健康,111.01,96.09
2,教育培训,112.2,95.37
3,软件应用,141.09,93.59
4,资讯,105.69,91.81
5,书籍阅读,115.86,89.68
6,游戏,133.88,89.32
7,家电数码,131.57,88.61
8,旅游出行,116.72,87.54
9,餐饮美食,113.85,87.54
