羞耻play,type,tgi,rate
0,影视音乐,106.24,98.33
1,教育培训,113.71,96.66
2,书籍阅读,124.67,96.49
3,资讯,110.5,95.99
4,医疗健康,109.36,94.66
5,游戏,135.87,90.65
6,餐饮美食,116.81,89.82
7,软件应用,133.63,88.65
8,休闲爱好,125.89,87.81
9,旅游出行,116.64,87.48
