中国梦,type,tgi,rate
0,影视音乐,104.34,96.57
1,教育培训,111.46,94.75
2,资讯,109.05,94.73
3,医疗健康,106.53,92.21
4,书籍阅读,115.14,89.12
5,旅游出行,115.65,86.74
6,餐饮美食,110.89,85.27
7,金融财经,114.95,83.62
8,休闲爱好,116.55,81.3
9,软件应用,121.75,80.77
