不约而同,type,tgi,rate
0,教育培训,116.47,99.0
1,影视音乐,106.9,98.94
2,资讯,111.94,97.24
3,医疗健康,111.37,96.4
4,书籍阅读,124.42,96.3
5,旅游出行,123.21,92.41
6,餐饮美食,120.16,92.4
7,休闲爱好,126.18,88.01
8,金融财经,117.33,85.35
9,软件应用,127.28,84.43
