爷们要战斗,type,tgi,rate
0,影视音乐,107.45,99.45
1,教育培训,114.94,97.71
2,资讯,112.27,97.52
3,医疗健康,112.24,97.16
4,书籍阅读,124.81,96.61
5,餐饮美食,123.73,95.14
6,旅游出行,125.01,93.76
7,游戏,138.61,92.48
8,休闲爱好,131.53,91.74
9,金融财经,123.35,89.72
