LSP,type,tgi,rate
0,影视音乐,106.19,98.28
1,资讯,110.96,96.39
2,教育培训,112.64,95.75
3,医疗健康,110.21,95.4
4,书籍阅读,118.87,92.0
5,旅游出行,121.65,91.24
6,餐饮美食,118.0,90.74
7,金融财经,124.06,90.24
8,软件应用,134.84,89.45
9,家电数码,132.21,89.05
