互联网+,type,tgi,rate
0,影视音乐,104.62,96.83
1,资讯,109.53,95.15
2,教育培训,111.56,94.84
3,医疗健康,107.59,93.12
4,书籍阅读,116.07,89.84
5,旅游出行,118.33,88.75
6,餐饮美食,114.23,87.84
7,金融财经,119.82,87.16
8,软件应用,127.49,84.58
9,休闲爱好,120.54,84.08
