一百块都不给我,type,tgi,rate
0,影视音乐,107.4,99.41
1,医疗健康,113.24,98.02
2,资讯,112.61,97.82
3,教育培训,113.21,96.24
4,餐饮美食,123.61,95.05
5,旅游出行,126.2,94.65
6,金融财经,129.85,94.46
7,书籍阅读,121.52,94.06
8,家电数码,137.6,92.67
9,休闲爱好,131.16,91.49
