逗比,type,tgi,rate
0,影视音乐,106.69,98.74
1,教育培训,114.13,97.01
2,医疗健康,111.81,96.78
3,资讯,111.41,96.78
4,餐饮美食,122.8,94.42
5,书籍阅读,120.37,93.17
6,旅游出行,124.11,93.09
7,休闲爱好,129.85,90.57
8,金融财经,123.54,89.87
9,家电数码,130.51,87.9
