凉凉,type,tgi,rate
0,影视音乐,107.13,99.15
1,资讯,112.34,97.58
2,教育培训,113.59,96.56
3,医疗健康,111.47,96.48
4,书籍阅读,122.1,94.51
5,餐饮美食,122.01,93.82
6,旅游出行,124.77,93.58
7,休闲爱好,129.51,90.34
8,金融财经,123.84,90.08
9,游戏,128.54,85.76
