羊了个羊,type,tgi,rate
0,影视音乐,104.45,96.67
1,资讯,107.82,93.66
2,教育培训,109.7,93.25
3,医疗健康,107.0,92.62
4,餐饮美食,115.15,88.54
5,书籍阅读,113.71,88.02
6,旅游出行,115.73,86.8
7,游戏,126.2,84.2
8,休闲爱好,119.8,83.56
9,金融财经,113.69,82.7
