待我长发及腰，xx娶我可好,type,tgi,rate
0,影视音乐,107.05,99.08
1,教育培训,114.51,97.34
2,医疗健康,112.33,97.23
3,资讯,111.4,96.77
4,书籍阅读,122.48,94.8
5,餐饮美食,121.19,93.19
6,旅游出行,121.32,90.99
7,金融财经,120.17,87.41
8,休闲爱好,125.15,87.3
9,软件应用,128.46,85.22
