睡你mb，起来嗨,type,tgi,rate
0,影视音乐,105.05,97.22
1,医疗健康,110.72,95.83
2,资讯,108.72,94.44
3,教育培训,109.47,93.06
4,餐饮美食,121.02,93.06
5,书籍阅读,116.64,90.28
6,旅游出行,120.37,90.28
7,金融财经,120.29,87.5
8,游戏,129.07,86.11
9,家电数码,127.85,86.11
