你的良心不会痛吗,type,tgi,rate
0,影视音乐,108.05,100.0
1,资讯,114.43,99.4
2,医疗健康,113.47,98.21
3,书籍阅读,126.12,97.62
4,教育培训,113.44,96.43
5,餐饮美食,125.4,96.43
6,旅游出行,127.77,95.83
7,家电数码,141.41,95.24
8,休闲爱好,134.83,94.05
9,软件应用,140.87,93.45
