我真的会谢,type,tgi,rate
0,影视音乐,106.6,98.66
1,教育培训,115.35,98.05
2,资讯,112.74,97.93
3,医疗健康,112.44,97.32
4,书籍阅读,123.38,95.5
5,餐饮美食,123.25,94.77
6,旅游出行,125.87,94.4
7,金融财经,128.94,93.8
8,软件应用,141.21,93.67
9,家电数码,138.0,92.94
