内卷,type,tgi,rate
0,影视音乐,106.31,98.4
1,教育培训,114.7,97.5
2,资讯,111.54,96.89
3,医疗健康,110.02,95.23
4,书籍阅读,121.78,94.26
5,旅游出行,122.91,92.19
6,餐饮美食,118.23,90.92
7,金融财经,122.49,89.1
8,休闲爱好,125.22,87.35
9,家电数码,129.54,87.25
