我去年买了个表,type,tgi,rate
0,影视音乐,107.35,99.36
1,教育培训,115.37,98.07
2,资讯,112.53,97.75
3,医疗健康,112.56,97.43
4,书籍阅读,122.96,95.18
5,旅游出行,126.04,94.53
6,软件应用,142.02,94.21
7,金融财经,128.19,93.25
8,餐饮美食,119.59,91.96
9,家电数码,136.06,91.64
