融梗,type,tgi,rate
0,教育培训,116.57,99.09
1,资讯,113.72,98.79
2,影视音乐,106.41,98.48
3,书籍阅读,126.06,97.58
4,医疗健康,111.33,96.36
5,软件应用,141.61,93.94
6,旅游出行,125.25,93.94
7,餐饮美食,121.77,93.64
8,游戏,140.35,93.64
9,金融财经,126.22,91.82
