工匠精神,type,tgi,rate
0,教育培训,114.54,97.37
1,影视音乐,104.6,96.81
2,资讯,107.66,93.52
3,书籍阅读,119.47,92.48
4,医疗健康,105.45,91.27
5,旅游出行,113.35,85.02
6,软件应用,127.98,84.9
7,餐饮美食,107.26,82.48
8,休闲爱好,115.33,80.45
9,家电数码,118.98,80.14
